brand,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,acceleration_0_100_s,fast_charging_power_kw_dc,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,car_body_type,expected_range_km
BMW,iX xDrive45,200,94.8,0,700,193,5.1,115,2500,500,5,AWD,JE - Executive,SUV,491
BMW,iX xDrive60,200,109.1,0,765,194,4.6,150,2500,500,5,AWD,JE - Executive,SUV,562
BMW,iX1 eDrive20,170,64.7,0,247,150,8.3,94,750,490,5,FWD,JC - Medium,SUV,431
BMW,iX1 xDrive30,180,64.7,0,494,155,5.6,94,1200,490,5,AWD,JC - Medium,SUV,417
BMW,iX2 eDrive20,170,64.7,0,247,147,8.6,94,750,525,5,FWD,JC - Medium,SUV,440
BMW,iX2 xDrive30,180,64.7,0,494,155,5.6,94,1200,525,5,AWD,JC - Medium,SUV,417
BYD,ATTO 2,160,45.1,0,290,145,7.9,51,750,400,5,FWD,JB - Compact,SUV,311
BYD,ATTO 3 (MY25),160,60.5,126,310,144,7.3,75,750,440,5,FWD,JC - Medium,SUV,420
BYD,DOLPHIN 44.9 kWh Active,150,44.9,104,180,132,12.3,50,0,345,5,FWD,C - Medium,Hatchback,340
BYD,DOLPHIN 44.9 kWh Boost,160,44.9,104,0,145,8,50,0,345,5,FWD,C - Medium,Hatchback,310
BYD,DOLPHIN 60.4 kWh,160,60.5,126,310,142,7,65,0,345,5,FWD,C - Medium,Hatchback,426
BYD,DOLPHIN SURF 30 kWh Active,150,30,94,175,136,11.1,45,0,308,4,FWD,B - Compact,Hatchback,221
BYD,DOLPHIN SURF 43.2 kWh Boost,150,43.2,90,175,134,12.1,60,0,308,4,FWD,B - Compact,Hatchback,322
BYD,DOLPHIN SURF 43.2 kWh Comfort,150,43.2,90,220,139,9.1,60,0,308,4,FWD,B - Compact,Hatchback,311
BYD,SEAL 61.4 kWh RWD Comfort,220,61.4,128,380,133,7.5,75,750,400,5,RWD,D - Large,Sedan,462
BYD,SEAL 82.5 kWh AWD Excellence,180,82.5,172,670,159,3.8,100,1500,400,5,AWD,D - Large,Sedan,519
BYD,SEAL 82.5 kWh RWD Design,180,82.5,172,360,145,5.9,100,750,400,5,RWD,D - Large,Sedan,569
BYD,SEAL U 71.8 kWh Comfort,175,71.8,132,310,171,9.3,72,1300,552,5,FWD,JD - Large,SUV,420
BYD,SEAL U 87 kWh Design,175,87,160,330,174,9.6,85,1300,552,5,FWD,JD - Large,SUV,500
BYD,SEALION 7 82.5 kWh AWD Design,215,82.5,172,690,181,4.5,115,1500,520,5,AWD,JD - Large,SUV,456
BYD,SEALION 7 82.5 kWh RWD Comfort,215,82.5,172,380,171,6.7,115,750,520,5,RWD,JD - Large,SUV,482
BYD,SEALION 7 91.3 kWh AWD Excellence,215,91.3,0,690,182,4.5,165,1500,520,5,AWD,JD - Large,SUV,502
BYD,TANG Flagship,190,108.8,0,700,205,4.9,100,1500,235,7,AWD,JE - Executive,SUV,531
CUPRA,Born 170 kW - 59 kWh,160,59,216,310,156,6.7,110,0,385,5,RWD,C - Medium,Hatchback,378
CUPRA,Born 170 kW - 77 kWh,160,77,288,310,157,7,125,0,385,5,RWD,C - Medium,Hatchback,490
CUPRA,Born VZ,200,79,288,545,149,5.6,135,0,385,5,RWD,C - Medium,Hatchback,530
CUPRA,Tavascan Endurance,180,77,288,545,142,6.8,120,1000,540,5,RWD,JC - Medium,SUV,542
CUPRA,Tavascan VZ,180,77,288,545,150,5.5,120,1200,540,5,AWD,JC - Medium,SUV,513
Cadillac,Lyriq 600 E4,210,102,288,610,192,5.3,165,1587,793,5,AWD,JF - Luxury,SUV,531
Citroen,e-Berlingo M 50 kWh,132,50,0,260,149,11.7,80,750,775,5,FWD,N - Passenger Van,Small Passenger Van,336
Citroen,e-Berlingo XL 50 kWh,132,50,0,260,149,11.7,80,750,1050,7,FWD,N - Passenger Van,Small Passenger Van,336
Citroen,e-C3,135,44,0,120,135,11.5,60,550,310,5,FWD,B - Compact,Hatchback,326
Citroen,e-C3 Aircross,145,44,0,125,144,12.9,60,350,460,5,FWD,JB - Compact,SUV,306
Citroen,e-C4,150,46.3,216,260,135,9.9,78,0,380,5,FWD,C - Medium,Hatchback,343
Citroen,e-C4 54 kWh,150,50.8,102,260,122,9.1,78,0,380,5,FWD,C - Medium,Hatchback,416
Citroen,e-C4 X,150,46.3,216,260,132,9.9,78,0,510,5,FWD,C - Medium,Sedan,351
Citroen,e-C4 X 54 kWh,150,50.8,102,260,119,9.1,78,0,510,5,FWD,C - Medium,Sedan,427
Citroen,e-SpaceTourer M 50 kWh,130,46.3,216,220,217,13.3,78,1000,603,9,FWD,N - Passenger Van,Small Passenger Van,213
Citroen,e-SpaceTourer M 75 kWh,130,68,324,220,202,14.2,79,1000,603,9,FWD,N - Passenger Van,Small Passenger Van,337
Citroen,e-SpaceTourer XL 50 kWh,130,46.3,216,220,219,13.3,78,1000,989,9,FWD,N - Passenger Van,Small Passenger Van,211
Citroen,e-SpaceTourer XL 75 kWh,130,68,324,220,204,14.2,79,1000,989,9,FWD,N - Passenger Van,Small Passenger Van,333
DS,3 E-Tense,150,50.8,102,260,128,9,85,0,350,5,FWD,JB - Compact,SUV,397
DS,N°4 E-Tense,160,58.3,0,345,130,7.1,70,0,390,5,FWD,JC - Medium,Hatchback,448
DS,N°8 AWD Long Range,190,97.2,0,511,146,5.4,130,1400,620,5,AWD,JD - Large,SUV,666
DS,N°8 FWD,190,73.7,0,345,141,7.7,100,1260,620,5,FWD,JD - Large,SUV,523
DS,N°8 FWD Long Range,190,97.2,0,345,136,7.8,130,1200,620,5,FWD,JD - Large,SUV,715
Dacia,Spring Electric 45,125,25,72,125,109,19.1,29,0,308,4,FWD,A - Mini,Hatchback,229
Dacia,Spring Electric 65,125,25,72,113,114,13.7,29,0,308,4,FWD,A - Mini,Hatchback,219
Dongfeng,Box 31.4 kWh,140,29,0,160,126,12.5,50,0,326,5,FWD,B - Compact,Hatchback,230
Dongfeng,Box 42.3 kWh,140,40,0,160,129,12.5,51,0,326,5,FWD,B - Compact,Hatchback,310
Elaris,BEO 86 kWh,150,81,0,320,203,9.5,65,0,467,5,FWD,JD - Large,SUV,399
Fiat,500e 3+1 24 kWh,135,21.3,108,220,112,9,40,0,185,4,FWD,B - Compact,Hatchback,190
Fiat,500e 3+1 42 kWh,150,37.3,192,220,122,9,67,0,185,4,FWD,B - Compact,Hatchback,306
Fiat,500e Cabrio 24 kWh,135,21.3,108,220,112,9,40,0,185,4,FWD,B - Compact,Cabriolet,190
Fiat,500e Cabrio 42 kWh,150,37.3,192,220,125,9,67,0,185,4,FWD,B - Compact,Cabriolet,298
