Segment
A - Mini
B - Compact
C - Medium
D - Large
E - Executive
F - Luxury
G - Sports
I - Luxury
JA - Mini
JB - Compact
JC - Medium
JD - Large
JE - Executive
JF - Luxury
N - Passenger Van
